debug: Token file: ./pytorch.token
debug: Read dummy DCAP token
debug: enclave created:
debug:     base:           0x0000000000000000
debug:     size:           0x0000000400000000
debug:     misc_select:    0x00000000
debug:     attr.flags:     0x0000000000000005
debug:     attr.xfrm:      0x00000000000000e7
debug:     ssa_frame_size: 4
debug:     isv_prod_id:    0x00000000
debug:     isv_svn:        0x00000000
debug: adding pages to enclave: 0x3ffc44000-0x400000000 [REG:R--] (manifest) measured
debug: adding pages to enclave: 0x3fedc4000-0x3fee04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fed84000-0x3fedc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fed44000-0x3fed84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fed04000-0x3fed44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fecc4000-0x3fed04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fec84000-0x3fecc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fec44000-0x3fec84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fec04000-0x3fec44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3febc4000-0x3fec04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3feb84000-0x3febc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3feb44000-0x3feb84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3feb04000-0x3feb44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3feac4000-0x3feb04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fea84000-0x3feac4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fea44000-0x3fea84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fea04000-0x3fea44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe9c4000-0x3fea04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe984000-0x3fe9c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe944000-0x3fe984000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe904000-0x3fe944000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe8c4000-0x3fe904000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe884000-0x3fe8c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe844000-0x3fe884000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe804000-0x3fe844000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe7c4000-0x3fe804000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe784000-0x3fe7c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe744000-0x3fe784000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe704000-0x3fe744000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe6c4000-0x3fe704000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe684000-0x3fe6c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe644000-0x3fe684000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe604000-0x3fe644000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe5c4000-0x3fe604000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe584000-0x3fe5c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe544000-0x3fe584000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe504000-0x3fe544000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe4c4000-0x3fe504000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe484000-0x3fe4c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe444000-0x3fe484000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe404000-0x3fe444000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe3c4000-0x3fe404000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe384000-0x3fe3c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe344000-0x3fe384000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe304000-0x3fe344000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe2c4000-0x3fe304000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe284000-0x3fe2c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe244000-0x3fe284000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe204000-0x3fe244000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe1c4000-0x3fe204000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe184000-0x3fe1c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe144000-0x3fe184000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe104000-0x3fe144000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe0c4000-0x3fe104000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe084000-0x3fe0c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe044000-0x3fe084000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fe004000-0x3fe044000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdfc4000-0x3fe004000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdf84000-0x3fdfc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdf44000-0x3fdf84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdf04000-0x3fdf44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdec4000-0x3fdf04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fde84000-0x3fdec4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fde44000-0x3fde84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fde04000-0x3fde44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fddc4000-0x3fde04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdd84000-0x3fddc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdd44000-0x3fdd84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdd04000-0x3fdd44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdcc4000-0x3fdd04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdc84000-0x3fdcc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdc44000-0x3fdc84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdc04000-0x3fdc44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdbc4000-0x3fdc04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdb84000-0x3fdbc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdb44000-0x3fdb84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdb04000-0x3fdb44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fdac4000-0x3fdb04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fda84000-0x3fdac4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fda44000-0x3fda84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fda04000-0x3fda44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd9c4000-0x3fda04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd984000-0x3fd9c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd944000-0x3fd984000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd904000-0x3fd944000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd8c4000-0x3fd904000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd884000-0x3fd8c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd844000-0x3fd884000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd804000-0x3fd844000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd7c4000-0x3fd804000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd784000-0x3fd7c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd744000-0x3fd784000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd704000-0x3fd744000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd6c4000-0x3fd704000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd684000-0x3fd6c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd644000-0x3fd684000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd604000-0x3fd644000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd5c4000-0x3fd604000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd584000-0x3fd5c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd544000-0x3fd584000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd504000-0x3fd544000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd4c4000-0x3fd504000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd484000-0x3fd4c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd444000-0x3fd484000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd404000-0x3fd444000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd3c4000-0x3fd404000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd384000-0x3fd3c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd344000-0x3fd384000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd304000-0x3fd344000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd2c4000-0x3fd304000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd284000-0x3fd2c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd244000-0x3fd284000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd204000-0x3fd244000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd1c4000-0x3fd204000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd184000-0x3fd1c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd144000-0x3fd184000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd104000-0x3fd144000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd0c4000-0x3fd104000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd084000-0x3fd0c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd044000-0x3fd084000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fd004000-0x3fd044000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcfc4000-0x3fd004000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcf84000-0x3fcfc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcf44000-0x3fcf84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcf04000-0x3fcf44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcec4000-0x3fcf04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fce84000-0x3fcec4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fce44000-0x3fce84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fce04000-0x3fce44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcdc4000-0x3fce04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcd84000-0x3fcdc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcd44000-0x3fcd84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcd04000-0x3fcd44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fccc4000-0x3fcd04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcc84000-0x3fccc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcc44000-0x3fcc84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcc04000-0x3fcc44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcbc4000-0x3fcc04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcb84000-0x3fcbc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcb44000-0x3fcb84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcb04000-0x3fcb44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fcac4000-0x3fcb04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fca84000-0x3fcac4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fca44000-0x3fca84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fca04000-0x3fca44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc9c4000-0x3fca04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc984000-0x3fc9c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc944000-0x3fc984000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc904000-0x3fc944000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc8c4000-0x3fc904000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc884000-0x3fc8c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc844000-0x3fc884000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc804000-0x3fc844000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc7c4000-0x3fc804000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc784000-0x3fc7c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc744000-0x3fc784000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc704000-0x3fc744000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc6c4000-0x3fc704000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc684000-0x3fc6c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc644000-0x3fc684000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc604000-0x3fc644000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc5c4000-0x3fc604000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc584000-0x3fc5c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc544000-0x3fc584000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc504000-0x3fc544000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc4c4000-0x3fc504000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc484000-0x3fc4c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc444000-0x3fc484000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc404000-0x3fc444000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc3c4000-0x3fc404000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc384000-0x3fc3c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc344000-0x3fc384000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc304000-0x3fc344000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc2c4000-0x3fc304000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc284000-0x3fc2c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc244000-0x3fc284000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc204000-0x3fc244000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc1c4000-0x3fc204000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc184000-0x3fc1c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc144000-0x3fc184000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc104000-0x3fc144000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc0c4000-0x3fc104000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc084000-0x3fc0c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc044000-0x3fc084000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fc004000-0x3fc044000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbfc4000-0x3fc004000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbf84000-0x3fbfc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbf44000-0x3fbf84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbf04000-0x3fbf44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbec4000-0x3fbf04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbe84000-0x3fbec4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbe44000-0x3fbe84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbe04000-0x3fbe44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbdc4000-0x3fbe04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbd84000-0x3fbdc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbd44000-0x3fbd84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbd04000-0x3fbd44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbcc4000-0x3fbd04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbc84000-0x3fbcc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbc44000-0x3fbc84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbc04000-0x3fbc44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbbc4000-0x3fbc04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbb84000-0x3fbbc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbb44000-0x3fbb84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbb04000-0x3fbb44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fbac4000-0x3fbb04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fba84000-0x3fbac4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fba44000-0x3fba84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fba04000-0x3fba44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb9c4000-0x3fba04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb984000-0x3fb9c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb944000-0x3fb984000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb904000-0x3fb944000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb8c4000-0x3fb904000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb884000-0x3fb8c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb844000-0x3fb884000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb804000-0x3fb844000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb7c4000-0x3fb804000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb784000-0x3fb7c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb744000-0x3fb784000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb704000-0x3fb744000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb6c4000-0x3fb704000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb684000-0x3fb6c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb644000-0x3fb684000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb604000-0x3fb644000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb5c4000-0x3fb604000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb584000-0x3fb5c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb544000-0x3fb584000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb504000-0x3fb544000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb4c4000-0x3fb504000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb484000-0x3fb4c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb444000-0x3fb484000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb404000-0x3fb444000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb3c4000-0x3fb404000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb384000-0x3fb3c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb344000-0x3fb384000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb304000-0x3fb344000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb2c4000-0x3fb304000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb284000-0x3fb2c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb244000-0x3fb284000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fb234000-0x3fb244000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb224000-0x3fb234000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb214000-0x3fb224000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb204000-0x3fb214000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb1f4000-0x3fb204000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb1e4000-0x3fb1f4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb1d4000-0x3fb1e4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb1c4000-0x3fb1d4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb1b4000-0x3fb1c4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb1a4000-0x3fb1b4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb194000-0x3fb1a4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb184000-0x3fb194000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb174000-0x3fb184000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb164000-0x3fb174000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb154000-0x3fb164000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb144000-0x3fb154000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb134000-0x3fb144000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb124000-0x3fb134000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb114000-0x3fb124000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb104000-0x3fb114000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb0f4000-0x3fb104000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb0e4000-0x3fb0f4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb0d4000-0x3fb0e4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb0c4000-0x3fb0d4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb0b4000-0x3fb0c4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb0a4000-0x3fb0b4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb094000-0x3fb0a4000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb084000-0x3fb094000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb074000-0x3fb084000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb064000-0x3fb074000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb054000-0x3fb064000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb044000-0x3fb054000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb034000-0x3fb044000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb024000-0x3fb034000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb014000-0x3fb024000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fb004000-0x3fb014000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3faff4000-0x3fb004000 [REG:RW-] (sig_stack) measured
debug: adding pages to enclave: 0x3fafe4000-0x3faff4000 [REG:RW-] (sig_stack) measured
